house_id,zipcode,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,price,date
9106000005,98115,4.0,2.25,3750.0,5000.0,2.0,0.0,0.0,5,8,2440.0,1310.0,1924,0.0,47.6747,-122.303,2170.0,4590.0,1310000.0,2015-05-27
5101400871,98115,2.0,1.75,1390.0,6670.0,1.0,0.0,0.0,3,6,720.0,670.0,1941,0.0,47.6914,-122.308,920.0,6380.0,445500.0,2015-05-24
6815100380,98103,3.0,1.75,1900.0,4000.0,1.0,0.0,0.0,3,7,1300.0,600.0,1965,,47.6854,-122.331,1880.0,4000.0,855000.0,2015-05-14
8730000270,98133,2.0,2.75,1370.0,1140.0,2.0,0.0,0.0,3,8,1080.0,290.0,2009,0.0,47.7052,-122.343,1370.0,1090.0,359000.0,2015-05-14
9178601660,98103,5.0,3.0,3320.0,5354.0,2.0,,0.0,3,9,3320.0,0.0,2004,0.0,47.6542,-122.331,2330.0,4040.0,1700000.0,2015-05-14
8149600265,98116,4.0,1.75,1980.0,5850.0,1.0,,1.0,4,8,1380.0,600.0,1960,0.0,47.5607,-122.391,1810.0,5850.0,725000.0,2015-05-14
7129304540,98118,5.0,2.0,1430.0,5600.0,1.5,0.0,0.0,3,6,1430.0,0.0,1947,,47.5192,-122.266,1860.0,5980.0,440000.0,2015-05-14
9828700685,98122,3.0,1.75,1540.0,8400.0,1.5,,0.0,3,7,1540.0,0.0,1902,0.0,47.6187,-122.295,1330.0,4800.0,900000.0,2015-05-13
5457300478,98109,2.0,1.75,1000.0,1760.0,1.0,0.0,0.0,4,6,600.0,400.0,1924,,47.6261,-122.355,2120.0,2802.0,453500.0,2015-05-13
6145600900,98133,2.0,2.5,1170.0,1638.0,2.0,0.0,0.0,3,8,1170.0,0.0,2008,0.0,47.7041,-122.351,1350.0,1407.0,325000.0,2015-05-13
3975400185,98103,3.0,2.0,1640.0,4218.0,1.0,0.0,0.0,4,7,910.0,730.0,1941,0.0,47.6546,-122.344,1670.0,4000.0,645000.0,2015-05-13
7424700045,98122,5.0,3.0,3830.0,8480.0,2.0,0.0,1.0,5,9,2630.0,1200.0,1905,19940.0,47.6166,-122.287,3050.0,7556.0,2050000.0,2015-05-13
9550204620,98105,3.0,1.75,1720.0,3825.0,1.5,0.0,0.0,3,7,1720.0,0.0,1925,0.0,47.666,-122.327,2000.0,3825.0,475000.0,2015-05-12
8685500020,98118,3.0,1.0,1530.0,6372.0,1.0,0.0,0.0,3,7,1210.0,320.0,1962,0.0,47.535,-122.289,1960.0,6426.0,387000.0,2015-05-12
9151600106,98116,4.0,1.5,2030.0,3300.0,1.5,0.0,0.0,4,8,1530.0,500.0,1927,0.0,47.5855,-122.383,2610.0,5400.0,750000.0,2015-05-12
2123700015,98118,4.0,2.5,1470.0,1612.0,2.0,,0.0,3,7,980.0,490.0,2003,0.0,47.5275,-122.271,1460.0,5027.0,228800.0,2015-05-12
2783100230,98133,4.0,2.25,1940.0,8270.0,2.0,,0.0,5,7,1940.0,0.0,1962,0.0,47.7567,-122.333,1800.0,7743.0,530000.0,2015-05-12
9136103130,98103,2.0,1.5,1090.0,4013.0,1.5,0.0,0.0,3,7,1090.0,0.0,1900,,47.6652,-122.338,1390.0,4013.0,685000.0,2015-05-12
3362400640,98103,3.0,1.75,2010.0,3090.0,1.5,,0.0,5,7,1510.0,500.0,1926,0.0,47.682,-122.348,1600.0,3150.0,825000.0,2015-05-12
9385200045,98116,3.0,2.5,1660.0,1091.0,3.0,0.0,1.0,3,9,1530.0,130.0,2015,0.0,47.5818,-122.402,1510.0,1352.0,729500.0,2015-05-12
9828700005,98122,3.0,1.0,1040.0,4000.0,1.0,0.0,0.0,3,7,1040.0,0.0,1950,0.0,47.6178,-122.292,1170.0,4000.0,440000.0,2015-05-12
8822900122,98125,3.0,2.25,1330.0,969.0,3.0,0.0,0.0,3,7,1330.0,0.0,2007,,47.7177,-122.292,1310.0,1941.0,325000.0,2015-05-12
1934800162,98122,2.0,1.5,960.0,1829.0,2.0,0.0,0.0,3,7,960.0,0.0,2005,0.0,47.6032,-122.308,1470.0,1829.0,386180.0,2015-05-11
3333000655,98118,2.0,1.0,890.0,6000.0,1.0,0.0,0.0,3,6,890.0,0.0,1941,0.0,47.5437,-122.281,1090.0,5900.0,334000.0,2015-05-11
